sun_class,dataset_size,occurances_of_class,model_name,dataset,depth,mAP,mean_iou
bed,1834,229,plain_depth.h5,test,False,0.34716157254043106,0.35190838440443395
chair,1834,1216,plain_depth.h5,test,False,0.3599483994341052,0.4332622452732551
table,1834,1133,plain_depth.h5,test,False,0.279717482104838,0.33940569453524283
sofa,1834,347,plain_depth.h5,test,False,0.10199441976566136,0.15375724294393767
bookcase,1834,809,plain_depth.h5,test,False,0.14266902811865184,0.1873294651625322
bed,1834,229,depth_strength3_num2.h5,test,False,0.28581594740849914,0.2950532410356813
chair,1834,1217,depth_strength3_num2.h5,test,False,0.4053512238745048,0.4753642446114042
table,1834,1132,depth_strength3_num2.h5,test,False,0.3353999530495055,0.3772213692137368
sofa,1834,347,depth_strength3_num2.h5,test,False,0.14710082636571756,0.2005404687026855
bookcase,1834,811,depth_strength3_num2.h5,test,False,0.14319882523980446,0.18872913107614325
bed,1834,229,depth_strength7_num2.h5,test,False,0.30844250415740576,0.3290856566618697
chair,1834,1217,depth_strength7_num2.h5,test,False,0.3954938403369625,0.4664435131388347
table,1834,1132,depth_strength7_num2.h5,test,False,0.3119123548155188,0.3667457416206473
sofa,1834,347,depth_strength7_num2.h5,test,False,0.1542413963414693,0.21183023779580545
bookcase,1834,811,depth_strength7_num2.h5,test,False,0.14364834506243804,0.1942853629521824
bed,1834,229,depth_strength7_num2_0017.h5,test,False,0.35320232948491664,0.3709000322060688
chair,1834,1217,depth_strength7_num2_0017.h5,test,False,0.37135672171221135,0.4454025838851783
table,1834,1135,depth_strength7_num2_0017.h5,test,False,0.30303420336476683,0.35842461237682405
sofa,1834,347,depth_strength7_num2_0017.h5,test,False,0.1821589559552821,0.23916887478469226
bookcase,1834,811,depth_strength7_num2_0017.h5,test,False,0.16887383104791576,0.20623450768212187
bed,1834,229,plain_0005.h5,test,False,0.3315138287647062,0.3511088701719586
chair,1834,1218,plain_0005.h5,test,False,0.36738105623196216,0.4526587057667266
table,1834,1135,plain_0005.h5,test,False,0.258602786088655,0.315600901878312
sofa,1834,347,plain_0005.h5,test,False,0.13259582286995839,0.18297426301653172
bookcase,1834,811,plain_0005.h5,test,False,0.10036639926478151,0.14050518145925983
bed,1834,229,strength3_num2_0007.h5,test,False,0.28782144628107287,0.30280002500762054
chair,1834,1219,strength3_num2_0007.h5,test,False,0.3173680298615969,0.4143628861372502
table,1834,1135,strength3_num2_0007.h5,test,False,0.2525213232268846,0.31488114639062453
sofa,1834,347,strength3_num2_0007.h5,test,False,0.13656854729358675,0.1926913273249691
bookcase,1834,811,strength3_num2_0007.h5,test,False,0.12369554921023108,0.16844036269470614
bed,1834,229,strength7_num2_0012.h5,test,False,0.2970645322614882,0.30916074006425104
chair,1834,1218,strength7_num2_0012.h5,test,False,0.30370626725165845,0.39902017350152663
table,1834,1136,strength7_num2_0012.h5,test,False,0.24386833271770325,0.3012673682073897
sofa,1834,347,strength7_num2_0012.h5,test,False,0.10477801943761471,0.15523364599955186
bookcase,1834,811,strength7_num2_0012.h5,test,False,0.11642202753979411,0.15731927166337267
